system name,,,,,,,,
System name,BMC IP,"PDU
user: colossushosted
password: YOUR_PASSWORD_HERE","PDU
Port",System Config,Support Team,NVbug# when System is Down,DCS Depot Support Needed (Y/N)?,uut
MGX-C2G2-EVT-01,10.63.26.214,10.178.70.247 - 10.178.69.238,,,,,,
MGX-C2G2-EVT-02,10.63.26.215,10.178.70.247 - 10.178.69.238,,,,,,
MGX-C2G2-EVT-03,10.63.26.216,10.178.70.247 - 10.178.69.238,,,,,,
MGX-C2G2-EVT-04,10.63.26.217,10.178.70.247 - 10.178.69.238,,,,,,
MGX-C2G2-EVT-05,10.63.26.218,10.178.70.247 - 10.178.69.238,,,,,,
MGX-C2G2-EVT-06,10.178.163.21,10.178.68.122 - 10.178.68.123,"13,5",,,,,
MGX-C2G2-EVT-07,10.178.163.22,10.178.68.122 - 10.178.68.123,"4,21",,,,,
MGX-C2G2-EVT-08,10.34.233.222,10.34.233.233 - 10.34.233.206,"3,4",,,,,
MGX-C2G2-EVT-09,10.34.233.242,10.34.233.233 - 10.34.233.206,"2,1",,,,,
MGX-C2G2-EVT-10,10.178.163.20,10.178.68.122 - 10.178.68.123,"20,12",,,,,
MGX-C2G2-EVT-11,10.179.235.177,10.178.68.120 - 10.178.68.121,"13,5",,,,,
MGX-C2G2-EVT-12,,10.178.70.246 - 10.178.71.254,,,,,,
MGX-C2G2-HPE-13,10.63.26.236,10.178.70.246 - 10.178.71.254,2,,,,,
MGX-C2G2-HPE-14,10.63.26.239,10.178.70.246 - 10.178.71.254,3,,,,,
MGX-C2G2-HPE-15,10.63.26.247,10.178.70.245 - 10.178.71.253,,,,,,
MGX-C2G2-HPE-16,10.178.160.136,10.178.68.118 - 10.178.68.119,,,,,,
MGX-C2G2-HPE-17,10.178.160.137,10.178.68.118 - 10.178.68.119,,,,,,
MGX-C2G2-HPE-18,10.178.160.138,10.178.68.118 - 10.178.68.119,,,,,,
MGX-C2G2-HPE-19 (1P),10.179.235.180,10.178.68.120 - 10.178.68.121,,,,,,
MGX-C2G2-DVT-20,10.63.26.203,10.178.70.246 - 10.178.71.254,"32,33",,,,,
MGX-C2G2-DVT-21,10.63.26.204,10.178.70.246 - 10.178.71.254,"30,31",,,,,
MGX-C2G2-DVT-22,10.63.26.205,10.178.70.245 - 10.178.71.253,,,,,,
MGX-C2G2-DVT-23,10.63.26.206,10.178.70.245 - 10.178.71.253,,,,,,
